run,nr,vr,repetition,Module,vipQueueLength:timeavg
FactorialAnalysisFifo-16-20200110-14:57:14-18305,0.1,1.3 -(0.1),1,Network.cashier,0.96620603697472
FactorialAnalysisFifo-17-20200110-14:57:14-18310,0.1,1.3 -(0.1),2,Network.cashier,0.9661766675548
FactorialAnalysisFifo-18-20200110-14:57:14-18315,0.1,1.3 -(0.1),3,Network.cashier,0.9727474962188
FactorialAnalysisFifo-19-20200110-14:57:15-18320,0.1,1.3 -(0.1),4,Network.cashier,0.98889648942868
FactorialAnalysisFifo-20-20200110-14:57:18-18325,0.1,1.3 -(0.1),0,Network.cashier,3.50544650665
FactorialAnalysisFifo-21-20200110-14:57:18-18330,0.1,1.3 -(0.1),1,Network.cashier,3.4581243218827
FactorialAnalysisFifo-22-20200110-14:57:18-18335,0.1,1.3 -(0.1),2,Network.cashier,3.4215137175687
FactorialAnalysisFifo-23-20200110-14:57:18-18340,0.1,1.3 -(0.1),3,Network.cashier,3.4217095850975
FactorialAnalysisFifo-24-20200110-14:57:22-18346,0.1,1.3 -(0.1),4,Network.cashier,3.4581715974706
FactorialAnalysisFifo-25-20200110-14:57:22-18351,0.1,1.3 -(0.1),0,Network.cashier,0.95665260248724
FactorialAnalysisFifo-26-20200110-14:57:22-18356,0.1,1.3 -(0.1),1,Network.cashier,0.97636311626602
FactorialAnalysisFifo-27-20200110-14:57:23-18361,0.1,1.3 -(0.1),2,Network.cashier,0.96834483267203
FactorialAnalysisFifo-28-20200110-14:57:26-18366,0.1,1.3 -(0.1),3,Network.cashier,0.9715784373032
FactorialAnalysisFifo-29-20200110-14:57:27-18371,0.1,1.3 -(0.1),4,Network.cashier,0.9796124001727
FactorialAnalysisFifo-30-20200110-14:57:27-18376,0.1,1.3 -(0.1),0,Network.cashier,3.4453516287143
FactorialAnalysisFifo-31-20200110-14:57:27-18381,0.1,1.3 -(0.1),1,Network.cashier,3.4932772347684
FactorialAnalysisFifo-32-20200110-14:57:30-18386,0.1,1.3 -(0.1),2,Network.cashier,3.5141134854964
FactorialAnalysisFifo-33-20200110-14:57:31-18391,0.1,1.3 -(0.1),3,Network.cashier,3.5510678910252
FactorialAnalysisFifo-34-20200110-14:57:31-18396,0.1,1.3 -(0.1),4,Network.cashier,3.4196227189327
FactorialAnalysisFifo-35-20200110-14:57:32-18401,0.1,1.3 -(0.1),0,Network.cashier,0.98144996280413
FactorialAnalysisFifo-36-20200110-14:57:34-18406,0.1,1.3 -(0.1),1,Network.cashier,0.96129995244443
FactorialAnalysisFifo-37-20200110-14:57:35-18413,0.1,1.3 -(0.1),2,Network.cashier,0.97438117887349
FactorialAnalysisFifo-38-20200110-14:57:35-18418,0.1,1.3 -(0.1),3,Network.cashier,0.97954072166514
FactorialAnalysisFifo-39-20200110-14:57:36-18423,0.1,1.3 -(0.1),4,Network.cashier,0.98331496738735
FactorialAnalysisFifo-40-20200110-14:57:38-18428,1.2,1.3 -(1.2),0,Network.cashier,0.061837416795239
FactorialAnalysisFifo-41-20200110-14:57:39-18433,1.2,1.3 -(1.2),1,Network.cashier,0.062801103848266
FactorialAnalysisFifo-42-20200110-14:57:39-18438,1.2,1.3 -(1.2),2,Network.cashier,0.061590047140268
FactorialAnalysisFifo-43-20200110-14:57:40-18443,1.2,1.3 -(1.2),3,Network.cashier,0.061218693921874
FactorialAnalysisFifo-44-20200110-14:57:42-18448,1.2,1.3 -(1.2),4,Network.cashier,0.06222780116722
FactorialAnalysisFifo-45-20200110-14:57:43-18453,1.2,1.3 -(1.2),0,Network.cashier,0.034851664647599
FactorialAnalysisFifo-46-20200110-14:57:43-18458,1.2,1.3 -(1.2),1,Network.cashier,0.033887641813091
FactorialAnalysisFifo-47-20200110-14:57:45-18463,1.2,1.3 -(1.2),2,Network.cashier,0.034308596357529
FactorialAnalysisFifo-48-20200110-14:57:47-18468,1.2,1.3 -(1.2),3,Network.cashier,0.034121079496793
FactorialAnalysisFifo-49-20200110-14:57:47-18473,1.2,1.3 -(1.2),4,Network.cashier,0.034367038314894
FactorialAnalysisFifo-50-20200110-14:57:47-18478,1.2,1.3 -(1.2),0,Network.cashier,0.062896802271382
FactorialAnalysisFifo-51-20200110-14:57:49-18483,1.2,1.3 -(1.2),1,Network.cashier,0.061994472393857
FactorialAnalysisFifo-52-20200110-14:57:50-18489,1.2,1.3 -(1.2),2,Network.cashier,0.061803135070625
